Address,LAT,LONG,Price_per_perch,Road,City,School,Hospital,index
,6.814839336,79.92033682,14.24,180.00,499.00,1653.00,805.00,299
,6.816913615,79.92195265,13.35,200.00,492.00,1870.00,1027.00,300
,6.814292972,79.92180245,10.73,300.00,648.00,1579.00,735.00,301
Bokundara,6.817744547,79.91622346,15.07,160.00,204.00,2074.00,1354.00,302
,6.821328509,79.91865476,14.68,240.00,319.00,2395.00,1440.00,303
,6.784620231,79.95532697,11.65,600.00,939.00,4061.00,2312.00,304
,6.781551955,79.95828813,7.62,1000.00,1079.00,4507.00,2035.00,305
,6.784748076,79.96120637,8.10,290.00,1505.00,4656.00,1659.00,306
,6.780529191,79.95266622,16.63,400.00,447.00,4022.00,2670.00,307
Halpita,6.782446871,79.95056336,17.36,500.00,410.00,3710.00,2863.00,308
,6.795998102,79.91708226,11.18,400.00,612.00,738.00,1008.00,309
Suwarapola East,6.795316281,79.91431422,16.57,170.00,386.00,1035.00,1362.00,310
,6.794464002,79.91598792,14.28,450.00,588.00,941.00,1318.00,311
,6.797191287,79.91791911,13.64,450.00,675.00,584.00,846.00,312
,6.798299242,79.91892762,16.98,270.00,571.00,424.00,721.00,313
Mavittara North,6.806999301,79.93803351,10.17,170.00,991.00,1913.00,1727.00,314
,6.804783428,79.9373254,9.31,290.00,1067.00,1753.00,1621.00,315
,6.805699607,79.94127361,10.68,150.00,1100.00,2203.00,2066.00,316
,6.805188252,79.94262545,10.13,500.00,1062.00,2333.00,2212.00,317
Bangalawatta,6.837107748,79.961406,11.17,550.00,880.00,1146.00,1541.00,318
,6.837138282,79.96314868,12.20,290.00,987.00,1293.00,1676.00,319
,6.835255323,79.96382525,11.06,250.00,1199.00,1484.00,1876.00,320
,6.777842492,79.92728725,9.11,100.00,1274.00,2540.00,2976.00,321
Batakettara South,6.777277436,79.93119289,9.25,260.00,1156.00,2727.00,3140.00,322
,6.777778569,79.92293134,9.30,400.00,1485.00,2486.00,2940.00,323
,6.781422174,79.9281241,7.25,280.00,1640.00,2179.00,2604.00,324
,6.781230406,79.92949739,8.74,240.00,1600.00,2249.00,2664.00,325
,6.767913142,79.94419461,8.18,260.00,1356.00,4334.00,4067.00,326
,6.764461209,79.94687682,7.52,180.00,1651.00,4819.00,4024.00,327
,6.7667625,79.94436627,7.18,200.00,1469.00,4451.00,4115.00,328
Batuwandara South,6.768360613,79.94181281,8.98,230.00,1251.00,4148.00,4277.00,329
,6.773827424,79.92323818,6.87,500.00,1130.00,2927.00,3380.00,330
,6.771524964,79.92274718,8.78,500.00,1020.00,3181.00,3636.00,331
Dampe2,6.76778683,79.92473848,7.67,750.00,667.00,3607.00,4058.00,332
,6.769357933,79.92029215,6.07,240.00,1186.00,3429.00,3886.00,333
,6.793735857,79.93154986,8.89,290.00,1051.00,1252.00,2121.00,334
